GaiaDR3;Cluster;Pmemb;Note;RA_ICRS;DE_ICRS;pmRA;e_pmRA;pmDE;e_pmDE;Plx;e_Plx;Gmag;BPmag;RPmag;Gmagcor;(G-RP)cor;_RA.icrs;_DE.icrs
2054160541313424512;   HE_40; 0.97;  N;303.4262;+32.1218;-3.824; 0.028; -5.316; 0.036; 0.521; 0.034;16.126;17.001;15.171;16.160; 0.964;303.4262;+32.1218
2054148614181552384;   HE_40; 0.80;  N;303.4276;+32.0848;-3.805; 0.145; -5.691; 0.185; 0.461; 0.162;18.637;20.790;17.285;18.633; 1.351;303.4276;+32.0848
2054148618484188288;   HE_40; 0.98;  N;303.4317;+32.0810;-3.701; 0.049; -5.225; 0.064; 0.480; 0.055;17.064;18.103;16.045;17.060; 1.018;303.4317;+32.0810
2054163805488633856;   HE_40; 0.96;  N;303.4412;+32.2631;-3.686; 0.116; -5.246; 0.140; 0.465; 0.133;18.378;19.868;17.224;18.544; 1.196;303.4412;+32.2631
2080682239242648832;CWNU_106; 0.53;  N;303.4498;+42.1556;-1.972; 0.175; -3.398; 0.176; 0.501; 0.162;18.980;20.283;17.892;19.018; 1.097;303.4498;+42.1556
2054148511102366848;   HE_40; 0.65;  N;303.4563;+32.0936;-3.652; 0.110; -5.401; 0.137; 0.526; 0.124;18.475;19.703;17.420;18.471; 1.054;303.4563;+32.0936
2074660214064681984;CWNU_106; 0.88;  N;303.4859;+41.8089;-1.811; 0.063; -3.039; 0.059; 0.594; 0.057;17.191;17.972;16.317;17.260; 0.892;303.4859;+41.8089
2074663065923007744;CWNU_106; 0.72;  N;303.4980;+41.8928;-2.197; 0.143; -3.603; 0.145; 0.536; 0.135;18.021;19.220;16.738;18.090; 1.301;303.4980;+41.8928
2080684262164580224;CWNU_106; 0.59;  N;303.5012;+42.2052;-1.360; 0.190; -2.829; 0.199; 0.594; 0.173;18.942;20.246;17.881;18.979; 1.071;303.5012;+42.2052
2062637294932689024;CWNU_106; 0.60;  N;303.5037;+41.4580;-2.012; 0.043; -2.921; 0.046; 0.615; 0.042;16.605;17.334;15.762;16.245; 0.751;303.5037;+41.4580
2080682307962138624;CWNU_106; 0.53;  N;303.5087;+42.1344;-2.536; 0.160; -3.747; 0.187; 0.556; 0.156;18.877;19.829;17.316;18.915; 1.571;303.5087;+42.1344
2074660729460782976;CWNU_106; 0.72;  N;303.5152;+41.8349;-2.181; 0.039; -3.566; 0.038; 0.522; 0.036;16.158;17.104;15.167;16.287; 1.025;303.5152;+41.8349
2054946000628824448;   HE_40; 0.71;  N;303.5299;+32.5937;-3.752; 0.125; -5.946; 0.142; 0.430; 0.135;18.366;19.415;17.357;18.656; 1.083;303.5299;+32.5937
2080697593746837760;CWNU_106; 0.89;  N;303.5350;+42.5305;-1.557; 0.145; -3.117; 0.154; 0.594; 0.122;18.137;18.979;16.986;17.977; 1.110;303.5350;+42.5305
2074664058062554880;CWNU_106; 0.68;  N;303.5379;+41.9965;-2.365; 0.161; -3.727; 0.183; 0.540; 0.151;18.858;20.068;17.627;18.927; 1.249;303.5379;+41.9965
2074662275649037824;CWNU_106; 0.77;  N;303.5393;+41.8622;-2.236; 0.056; -3.697; 0.058; 0.499; 0.053;17.065;17.883;16.179;17.134; 0.904;303.5393;+41.8622
2054149748053141120;   HE_40; 0.74;  N;303.5412;+32.1438;-3.710; 0.158; -5.785; 0.212; 0.415; 0.180;18.835;21.024;17.444;18.869; 1.400;303.5412;+32.1438
2074663993636004608;CWNU_106; 0.68;  N;303.5480;+41.9753;-1.512; 0.151; -2.997; 0.165; 0.544; 0.133;18.627;20.530;17.318;18.696; 1.327;303.5480;+41.9753
2054952425900316416;   HE_40; 0.90;  N;303.5549;+32.6755;-4.008; 0.124; -5.483; 0.164; 0.424; 0.138;18.473;19.489;17.480;18.762; 1.068;303.5549;+32.6755
2054188918152552960;   HE_40; 0.56;  N;303.5562;+32.4180;-3.514; 0.150; -5.549; 0.203; 0.449; 0.164;18.714;19.896;17.637;18.962; 1.140;303.5562;+32.4180
2054946241147156480;   HE_40; 0.71;  N;303.5569;+32.6262;-4.052; 0.114; -5.596; 0.157; 0.459; 0.126;18.317;19.713;17.191;18.606; 1.200;303.5569;+32.6262
2054187101386484736;   HE_40; 0.60;  N;303.5674;+32.3152;-3.534; 0.158; -5.496; 0.222; 0.430; 0.170;18.780;19.851;17.463;19.028; 1.381;303.5674;+32.3152
2054143327076815360;   HE_40; 0.81;  N;303.5744;+31.9834;-3.773; 0.192; -5.634; 0.245; 0.428; 0.206;18.974;20.587;17.235;18.970; 1.738;303.5744;+31.9834
2054082304179364736;   HE_40; 0.75;  N;303.6186;+31.6872;-4.003; 0.060; -5.323; 0.072; 0.495; 0.073;17.204;17.965;16.163;17.201; 1.040;303.6186;+31.6872
2080723848886452864;CWNU_106; 0.61;  N;303.6463;+42.7076;-0.998; 0.098; -3.427; 0.106; 0.513; 0.088;17.896;19.061;16.838;17.736; 1.017;303.6463;+42.7076
2062644231293687552;CWNU_106; 0.87;  N;303.6602;+41.5159;-1.428; 0.073; -3.259; 0.083; 0.596; 0.068;16.886;17.689;15.976;16.526; 0.818;303.6602;+41.5159
2054189124310865664;   HE_40; 0.52;  N;303.6797;+32.3914;-3.451; 0.093; -5.612; 0.121; 0.461; 0.102;17.991;19.220;16.926;18.239; 1.129;303.6797;+32.3914
2062621622585573632;CWNU_106; 0.51;  N;303.6896;+41.3331;-1.847; 0.058; -2.945; 0.067; 0.639; 0.056;17.103;18.416;15.987;16.743; 1.023;303.6896;+41.3331
2080690176342744576;CWNU_106; 0.67;  N;303.6978;+42.3082;-1.679; 0.039; -3.241; 0.042; 0.650; 0.036;16.248;16.923;15.442;16.267; 0.811;303.6978;+42.3082
2080690107623269760;CWNU_106; 0.60;  N;303.7063;+42.3035;-1.936; 0.086; -3.190; 0.092; 0.645; 0.076;17.703;18.515;16.802;17.722; 0.906;303.7063;+42.3035
